Sæson;Kommune;Art;Type;Alder;Køn;September;Oktober;November;December;Januar
2021/2022;"Norddjurs";Vildsvin;Orne;Over 1 år;Han;0;1;0;0;0
2021/2022;"Norddjurs";Vildsvin;Gris;Under 1 år;Han;0;0;1;0;0
2021/2022;"Norddjurs";Vildsvin;Gris;Under 1 år;Hun;0;0;0;0;1
